sub_county,market_center,crop,price_ksh_per_kg,trend,price_date,source
bondo,Bondo Market,beans,86.3,stable,2025-11-01,synthetic_demo
ugunja,Ugunja Market,beans,84.2,up,2025-11-01,synthetic_demo
yala,Yala Market,beans,92.7,down,2025-11-01,synthetic_demo
gem,Gem Market,beans,89.4,stable,2025-11-01,synthetic_demo
alego,Alego Market,beans,86.7,up,2025-11-01,synthetic_demo
bondo,Bondo Market,rice,114.8,stable,2025-11-01,synthetic_demo
ugunja,Ugunja Market,rice,113.9,down,2025-11-01,synthetic_demo
yala,Yala Market,rice,120.5,up,2025-11-01,synthetic_demo
gem,Gem Market,rice,116.6,stable,2025-11-01,synthetic_demo
alego,Alego Market,rice,116.4,stable,2025-11-01,synthetic_demo
bondo,Bondo Market,sorghum,91.5,up,2025-11-01,synthetic_demo
ugunja,Ugunja Market,sorghum,88.1,stable,2025-11-01,synthetic_demo
yala,Yala Market,sorghum,98.3,down,2025-11-01,synthetic_demo
gem,Gem Market,sorghum,96.7,stable,2025-11-01,synthetic_demo
alego,Alego Market,sorghum,99.1,up,2025-11-01,synthetic_demo
bondo,Bondo Market,millet,114.5,up,2025-11-01,synthetic_demo
ugunja,Ugunja Market,millet,105.2,up,2025-11-01,synthetic_demo
yala,Yala Market,millet,109.2,stable,2025-11-01,synthetic_demo
gem,Gem Market,millet,110.4,stable,2025-11-01,synthetic_demo
alego,Alego Market,millet,110.2,stable,2025-11-01,synthetic_demo
bondo,Bondo Market,groundnuts,116.9,up,2025-11-01,synthetic_demo
ugunja,Ugunja Market,groundnuts,110.9,up,2025-11-01,synthetic_demo
yala,Yala Market,groundnuts,115.9,up,2025-11-01,synthetic_demo
gem,Gem Market,groundnuts,117.2,down,2025-11-01,synthetic_demo
alego,Alego Market,groundnuts,117.6,down,2025-11-01,synthetic_demo
bondo,Bondo Market,tomatoes,68.2,up,2025-11-01,synthetic_demo
ugunja,Ugunja Market,tomatoes,79.1,down,2025-11-01,synthetic_demo
yala,Yala Market,tomatoes,70.6,up,2025-11-01,synthetic_demo
gem,Gem Market,tomatoes,75.4,up,2025-11-01,synthetic_demo
alego,Alego Market,tomatoes,77.8,down,2025-11-01,synthetic_demo
bondo,Bondo Market,kale,45.9,up,2025-11-01,synthetic_demo
ugunja,Ugunja Market,kale,51.6,down,2025-11-01,synthetic_demo
yala,Yala Market,kale,52.2,up,2025-11-01,synthetic_demo
gem,Gem Market,kale,53.1,stable,2025-11-01,synthetic_demo
alego,Alego Market,kale,45.6,up,2025-11-01,synthetic_demo
bondo,Bondo Market,maize,57.3,down,2025-12-01,synthetic_demo
ugunja,Ugunja Market,maize,60.7,stable,2025-12-01,synthetic_demo
yala,Yala Market,maize,67.7,stable,2025-12-01,synthetic_demo
gem,Gem Market,maize,67.2,up,2025-12-01,synthetic_demo
alego,Alego Market,maize,65.8,up,2025-12-01,synthetic_demo
bondo,Bondo Market,beans,88.1,stable,2025-12-01,synthetic_demo
ugunja,Ugunja Market,beans,84.7,up,2025-12-01,synthetic_demo
yala,Yala Market,beans,85.1,down,2025-12-01,synthetic_demo
gem,Gem Market,beans,86.0,down,2025-12-01,synthetic_demo
alego,Alego Market,beans,79.8,down,2025-12-01,synthetic_demo
bondo,Bondo Market,rice,120.8,up,2025-12-01,synthetic_demo
ugunja,Ugunja Market,rice,112.3,down,2025-12-01,synthetic_demo
yala,Yala Market,rice,119.9,stable,2025-12-01,synthetic_demo
gem,Gem Market,rice,118.3,stable,2025-12-01,synthetic_demo
alego,Alego Market,rice,116.7,down,2025-12-01,synthetic_demo
bondo,Bondo Market,sorghum,100.2,stable,2025-12-01,synthetic_demo
ugunja,Ugunja Market,sorghum,93.3,stable,2025-12-01,synthetic_demo
yala,Yala Market,sorghum,99.4,up,2025-12-01,synthetic_demo
gem,Gem Market,sorghum,97.7,down,2025-12-01,synthetic_demo
alego,Alego Market,sorghum,96.1,up,2025-12-01,synthetic_demo
bondo,Bondo Market,millet,111.4,down,2025-12-01,synthetic_demo
ugunja,Ugunja Market,millet,109.7,down,2025-12-01,synthetic_demo
yala,Yala Market,millet,108.6,up,2025-12-01,synthetic_demo
gem,Gem Market,millet,110.7,down,2025-12-01,synthetic_demo
alego,Alego Market,millet,112.6,down,2025-12-01,synthetic_demo
bondo,Bondo Market,groundnuts,111.0,stable,2025-12-01,synthetic_demo
ugunja,Ugunja Market,groundnuts,110.1,up,2025-12-01,synthetic_demo
yala,Yala Market,groundnuts,110.3,down,2025-12-01,synthetic_demo
gem,Gem Market,groundnuts,112.3,stable,2025-12-01,synthetic_demo
alego,Alego Market,groundnuts,117.2,up,2025-12-01,synthetic_demo
bondo,Bondo Market,tomatoes,76.5,down,2025-12-01,synthetic_demo
ugunja,Ugunja Market,tomatoes,75.7,stable,2025-12-01,synthetic_demo
yala,Yala Market,tomatoes,73.2,down,2025-12-01,synthetic_demo
gem,Gem Market,tomatoes,73.6,up,2025-12-01,synthetic_demo
alego,Alego Market,tomatoes,72.9,down,2025-12-01,synthetic_demo
bondo,Bondo Market,kale,56.0,stable,2025-12-01,synthetic_demo
ugunja,Ugunja Market,kale,46.2,up,2025-12-01,synthetic_demo
yala,Yala Market,kale,51.1,up,2025-12-01,synthetic_demo
gem,Gem Market,kale,50.7,down,2025-12-01,synthetic_demo
alego,Alego Market,kale,55.6,up,2025-12-01,synthetic_demo
bondo,Bondo Market,maize,62.6,stable,2026-01-01,synthetic_demo
ugunja,Ugunja Market,maize,67.0,down,2026-01-01,synthetic_demo
yala,Yala Market,maize,67.5,stable,2026-01-01,synthetic_demo
gem,Gem Market,maize,67.4,stable,2026-01-01,synthetic_demo
alego,Alego Market,maize,62.1,up,2026-01-01,synthetic_demo
bondo,Bondo Market,beans,84.9,stable,2026-01-01,synthetic_demo
ugunja,Ugunja Market,beans,89.1,up,2026-01-01,synthetic_demo
yala,Yala Market,beans,85.2,down,2026-01-01,synthetic_demo
gem,Gem Market,beans,92.9,stable,2026-01-01,synthetic_demo
alego,Alego Market,beans,85.1,up,2026-01-01,synthetic_demo
bondo,Bondo Market,rice,112.9,down,2026-01-01,synthetic_demo
ugunja,Ugunja Market,rice,123.9,down,2026-01-01,synthetic_demo
yala,Yala Market,rice,115.3,stable,2026-01-01,synthetic_demo
gem,Gem Market,rice,116.8,stable,2026-01-01,synthetic_demo
alego,Alego Market,rice,119.2,down,2026-01-01,synthetic_demo
bondo,Bondo Market,sorghum,93.1,down,2026-01-01,synthetic_demo
ugunja,Ugunja Market,sorghum,98.9,down,2026-01-01,synthetic_demo
yala,Yala Market,sorghum,101.0,stable,2026-01-01,synthetic_demo
gem,Gem Market,sorghum,89.2,down,2026-01-01,synthetic_demo
alego,Alego Market,sorghum,91.9,stable,2026-01-01,synthetic_demo
bondo,Bondo Market,millet,107.6,stable,2026-01-01,synthetic_demo
ugunja,Ugunja Market,millet,110.6,stable,2026-01-01,synthetic_demo
yala,Yala Market,millet,108.7,stable,2026-01-01,synthetic_demo
gem,Gem Market,millet,104.3,down,2026-01-01,synthetic_demo
alego,Alego Market,millet,109.1,stable,2026-01-01,synthetic_demo
bondo,Bondo Market,groundnuts,113.9,up,2026-01-01,synthetic_demo
ugunja,Ugunja Market,groundnuts,114.1,stable,2026-01-01,synthetic_demo
yala,Yala Market,groundnuts,116.5,down,2026-01-01,synthetic_demo
gem,Gem Market,groundnuts,113.0,up,2026-01-01,synthetic_demo
alego,Alego Market,groundnuts,110.2,down,2026-01-01,synthetic_demo
bondo,Bondo Market,tomatoes,68.2,stable,2026-01-01,synthetic_demo
ugunja,Ugunja Market,tomatoes,66.7,down,2026-01-01,synthetic_demo
yala,Yala Market,tomatoes,80.2,up,2026-01-01,synthetic_demo
gem,Gem Market,tomatoes,77.5,down,2026-01-01,synthetic_demo
alego,Alego Market,tomatoes,73.8,up,2026-01-01,synthetic_demo
bondo,Bondo Market,kale,56.5,down,2026-01-01,synthetic_demo
ugunja,Ugunja Market,kale,42.3,down,2026-01-01,synthetic_demo
yala,Yala Market,kale,53.3,down,2026-01-01,synthetic_demo
gem,Gem Market,kale,46.4,stable,2026-01-01,synthetic_demo
alego,Alego Market,kale,51.4,up,2026-01-01,synthetic_demo
bondo,Bondo Market,maize,57.7,stable,2026-02-01,synthetic_demo
ugunja,Ugunja Market,maize,63.7,down,2026-02-01,synthetic_demo
yala,Yala Market,maize,65.0,stable,2026-02-01,synthetic_demo
gem,Gem Market,maize,65.9,stable,2026-02-01,synthetic_demo
alego,Alego Market,maize,59.4,up,2026-02-01,synthetic_demo
bondo,Bondo Market,beans,91.5,stable,2026-02-01,synthetic_demo
ugunja,Ugunja Market,beans,91.0,stable,2026-02-01,synthetic_demo
yala,Yala Market,beans,86.9,stable,2026-02-01,synthetic_demo
gem,Gem Market,beans,90.2,stable,2026-02-01,synthetic_demo
alego,Alego Market,beans,86.9,down,2026-02-01,synthetic_demo
bondo,Bondo Market,rice,117.4,up,2026-02-01,synthetic_demo
ugunja,Ugunja Market,rice,123.8,up,2026-02-01,synthetic_demo
yala,Yala Market,rice,120.9,stable,2026-02-01,synthetic_demo
gem,Gem Market,rice,122.6,down,2026-02-01,synthetic_demo
alego,Alego Market,rice,117.3,stable,2026-02-01,synthetic_demo
bondo,Bondo Market,sorghum,99.8,down,2026-02-01,synthetic_demo
ugunja,Ugunja Market,sorghum,93.2,down,2026-02-01,synthetic_demo
yala,Yala Market,sorghum,99.0,up,2026-02-01,synthetic_demo
gem,Gem Market,sorghum,98.5,up,2026-02-01,synthetic_demo
alego,Alego Market,sorghum,92.7,stable,2026-02-01,synthetic_demo
bondo,Bondo Market,millet,114.7,down,2026-02-01,synthetic_demo
ugunja,Ugunja Market,millet,108.1,stable,2026-02-01,synthetic_demo
yala,Yala Market,millet,112.5,down,2026-02-01,synthetic_demo
gem,Gem Market,millet,104.8,down,2026-02-01,synthetic_demo
alego,Alego Market,millet,107.6,down,2026-02-01,synthetic_demo
bondo,Bondo Market,groundnuts,113.0,up,2026-02-01,synthetic_demo
ugunja,Ugunja Market,groundnuts,113.7,up,2026-02-01,synthetic_demo
yala,Yala Market,groundnuts,117.6,stable,2026-02-01,synthetic_demo
gem,Gem Market,groundnuts,118.7,up,2026-02-01,synthetic_demo
alego,Alego Market,groundnuts,110.3,stable,2026-02-01,synthetic_demo
bondo,Bondo Market,tomatoes,74.2,stable,2026-02-01,synthetic_demo
ugunja,Ugunja Market,tomatoes,76.1,down,2026-02-01,synthetic_demo
yala,Yala Market,tomatoes,76.7,stable,2026-02-01,synthetic_demo
gem,Gem Market,tomatoes,69.8,down,2026-02-01,synthetic_demo
alego,Alego Market,tomatoes,74.0,down,2026-02-01,synthetic_demo
bondo,Bondo Market,kale,48.5,stable,2026-02-01,synthetic_demo
ugunja,Ugunja Market,kale,47.2,up,2026-02-01,synthetic_demo
yala,Yala Market,kale,49.1,stable,2026-02-01,synthetic_demo
gem,Gem Market,kale,51.6,down,2026-02-01,synthetic_demo
alego,Alego Market,kale,48.3,stable,2026-02-01,synthetic_demo
