farmer_id,sub_county,season,crop,planting_date,harvest_date,farm_size_ha,yield_ton_per_ha,input_cost_ksh,revenue_ksh,profit_ksh,source
FR-SYN-00028,yala,long_rains,beans,2025-03-07,2025-06-27,3.85,1.56,104070.36,474.28,-103596.08,synthetic_demo
FR-SYN-00029,ugunja,short_rains,beans,2025-10-20,2025-12-26,5.4,1.59,203085.11,740.67,-202344.44,synthetic_demo
FR-SYN-00030,bondo,long_rains,groundnuts,2025-03-11,2025-06-11,5.72,1.82,54052.1,1064.5,-52987.6,synthetic_demo
FR-SYN-00031,ugunja,long_rains,beans,2025-03-25,2025-06-19,4.37,2.71,46770.94,1083.6,-45687.34,synthetic_demo
FR-SYN-00032,ugunja,dry,sorghum,2025-01-16,2025-05-15,2.61,1.41,59377.57,384.28,-58993.28,synthetic_demo
FR-SYN-00033,gem,short_rains,beans,2025-10-23,2025-12-21,1.45,2.6,26510.74,297.08,-26213.66,synthetic_demo
FR-SYN-00034,ugunja,long_rains,tomatoes,2025-03-25,2025-07-17,2.34,15.14,100994.93,2846.72,-98148.21,synthetic_demo
FR-SYN-00035,bondo,short_rains,kale,2025-10-14,2025-12-12,3.59,8.2,55316.7,1586.96,-53729.75,synthetic_demo
FR-SYN-00036,alego,long_rains,maize,2025-03-18,2025-06-17,3.52,4.0,70450.3,839.75,-69610.55,synthetic_demo
FR-SYN-00037,bondo,long_rains,groundnuts,2025-03-12,2025-07-21,3.08,2.17,102805.24,690.0,-102115.24,synthetic_demo
FR-SYN-00038,gem,dry,millet,2025-01-13,2025-04-12,5.7,1.9,104725.08,1324.86,-103400.22,synthetic_demo
FR-SYN-00039,bondo,long_rains,maize,2025-03-14,2025-06-16,5.11,3.01,107403.19,804.76,-106598.43,synthetic_demo
FR-SYN-00040,alego,long_rains,beans,2025-03-09,2025-06-10,0.93,1.43,35258.16,119.59,-35138.58,synthetic_demo
FR-SYN-00041,ugunja,dry,kale,2025-01-07,2025-05-13,0.83,4.35,15352.58,179.45,-15173.12,synthetic_demo
FR-SYN-00042,ugunja,long_rains,kale,2025-03-20,2025-07-27,3.19,9.26,109592.77,1123.79,-108468.97,synthetic_demo
FR-SYN-00043,gem,dry,millet,2025-01-23,2025-05-22,2.06,1.58,21167.73,379.99,-20787.74,synthetic_demo
FR-SYN-00044,ugunja,dry,millet,2025-01-06,2025-04-28,5.17,1.38,127683.24,861.13,-126822.11,synthetic_demo
FR-SYN-00045,alego,dry,groundnuts,2025-01-11,2025-05-27,2.27,0.95,80544.6,253.72,-80290.88,synthetic_demo
FR-SYN-00046,yala,long_rains,maize,2025-03-09,2025-06-26,5.25,5.06,193097.76,1901.14,-191196.61,synthetic_demo
FR-SYN-00047,yala,long_rains,maize,2025-03-23,2025-06-22,2.26,4.17,80347.94,507.59,-79840.34,synthetic_demo
FR-SYN-00048,alego,long_rains,millet,2025-03-09,2025-07-12,1.89,2.72,14793.8,521.78,-14272.03,synthetic_demo
FR-SYN-00049,yala,long_rains,maize,2025-03-19,2025-07-15,5.38,3.54,178716.27,999.25,-177717.02,synthetic_demo
FR-SYN-00050,yala,long_rains,beans,2025-03-08,2025-06-20,1.52,2.47,18414.67,301.43,-18113.24,synthetic_demo
FR-SYN-00051,gem,long_rains,rice,2025-03-11,2025-06-23,4.36,3.72,104211.96,1790.19,-102421.77,synthetic_demo
FR-SYN-00052,yala,dry,sorghum,2025-01-05,2025-04-15,4.05,2.93,65566.78,1194.59,-64372.19,synthetic_demo
FR-SYN-00053,ugunja,short_rains,maize,2025-10-19,2025-12-17,5.12,3.49,45519.34,1038.91,-44480.43,synthetic_demo
FR-SYN-00054,gem,dry,maize,2025-01-20,2025-04-25,2.21,2.48,80490.2,435.63,-80054.57,synthetic_demo
FR-SYN-00055,ugunja,long_rains,maize,2025-03-18,2025-06-23,1.69,4.61,39056.46,505.79,-38550.67,synthetic_demo
FR-SYN-00056,bondo,dry,sorghum,2025-01-09,2025-04-28,3.77,2.42,71500.65,924.64,-70576.01,synthetic_demo
FR-SYN-00057,alego,short_rains,beans,2025-10-17,2025-12-22,0.81,1.53,12709.5,103.41,-12606.09,synthetic_demo
FR-SYN-00058,gem,dry,tomatoes,2025-01-12,2025-04-19,5.86,5.34,234293.19,2780.51,-231512.68,synthetic_demo
FR-SYN-00059,bondo,dry,sorghum,2025-01-21,2025-05-14,4.81,3.14,76191.66,1485.18,-74706.49,synthetic_demo
FR-SYN-00060,gem,dry,groundnuts,2025-01-08,2025-04-17,2.61,1.21,49547.03,390.55,-49156.48,synthetic_demo
FR-SYN-00061,ugunja,dry,maize,2025-01-25,2025-04-16,2.05,2.51,65513.19,312.67,-65200.52,synthetic_demo
FR-SYN-00062,yala,dry,millet,2025-01-17,2025-05-24,1.96,1.24,43624.26,284.73,-43339.53,synthetic_demo
FR-SYN-00063,yala,dry,groundnuts,2025-01-15,2025-05-20,5.25,2.19,144251.31,1474.24,-142777.07,synthetic_demo
FR-SYN-00064,ugunja,dry,beans,2025-01-14,2025-05-23,2.78,1.67,50355.28,463.13,-49892.16,synthetic_demo
FR-SYN-00065,yala,long_rains,beans,2025-03-20,2025-06-18,4.52,2.84,83720.14,1115.78,-82604.36,synthetic_demo
FR-SYN-00066,alego,short_rains,millet,2025-10-20,2025-12-28,3.73,2.46,121135.46,943.02,-120192.44,synthetic_demo
FR-SYN-00067,yala,short_rains,beans,2025-10-10,2025-12-25,2.4,1.5,74813.58,330.68,-74482.9,synthetic_demo
FR-SYN-00068,ugunja,dry,beans,2025-01-17,2025-05-25,2.67,1.06,76093.04,271.42,-75821.62,synthetic_demo
FR-SYN-00069,yala,short_rains,beans,2025-10-21,2025-12-15,0.95,2.7,21085.76,246.25,-20839.51,synthetic_demo
FR-SYN-00070,ugunja,long_rains,maize,2025-03-12,2025-06-16,4.56,3.85,125496.07,999.03,-124497.04,synthetic_demo
FR-SYN-00071,bondo,long_rains,beans,2025-03-17,2025-06-27,1.96,1.39,68320.27,241.87,-68078.4,synthetic_demo
FR-SYN-00072,alego,dry,millet,2025-01-08,2025-05-16,3.89,1.82,47737.73,859.7,-46878.03,synthetic_demo
FR-SYN-00073,bondo,dry,kale,2025-01-23,2025-05-14,5.73,4.86,230552.61,1477.07,-229075.54,synthetic_demo
FR-SYN-00074,yala,short_rains,kale,2025-10-08,2025-12-11,0.65,7.29,8075.58,218.91,-7856.67,synthetic_demo
FR-SYN-00075,gem,short_rains,maize,2025-10-20,2025-12-15,1.21,3.89,22714.45,269.43,-22445.03,synthetic_demo
FR-SYN-00076,yala,dry,maize,2025-01-09,2025-05-25,1.21,2.52,33595.86,237.5,-33358.36,synthetic_demo
FR-SYN-00077,yala,dry,millet,2025-01-12,2025-05-21,4.18,2.21,43596.01,1084.34,-42511.67,synthetic_demo
FR-SYN-00078,gem,short_rains,rice,2025-10-13,2025-12-26,1.8,3.35,47617.05,676.31,-46940.75,synthetic_demo
FR-SYN-00079,bondo,long_rains,beans,2025-03-22,2025-06-12,4.88,2.28,84380.82,1041.63,-83339.19,synthetic_demo
FR-SYN-00080,alego,dry,beans,2025-01-16,2025-05-13,1.13,0.75,36699.01,87.4,-36611.6,synthetic_demo
FR-SYN-00081,gem,long_rains,kale,2025-03-11,2025-06-22,1.76,5.86,52478.25,559.36,-51918.88,synthetic_demo
FR-SYN-00082,alego,long_rains,maize,2025-03-06,2025-07-28,3.21,3.59,60747.78,788.65,-59959.13,synthetic_demo
FR-SYN-00083,alego,dry,millet,2025-01-15,2025-05-24,4.95,2.65,57474.16,1521.62,-55952.53,synthetic_demo
FR-SYN-00084,yala,dry,rice,2025-01-09,2025-04-26,3.53,4.1,142464.15,1959.67,-140504.48,synthetic_demo
FR-SYN-00085,gem,long_rains,rice,2025-03-09,2025-06-11,1.68,3.81,20174.65,712.94,-19461.71,synthetic_demo
FR-SYN-00086,alego,long_rains,maize,2025-03-14,2025-06-22,2.69,5.04,94838.85,956.14,-93882.71,synthetic_demo
FR-SYN-00087,yala,dry,kale,2025-01-11,2025-05-24,1.56,4.11,31749.1,365.56,-31383.54,synthetic_demo
FR-SYN-00088,ugunja,long_rains,millet,2025-03-24,2025-06-19,3.25,1.66,27531.62,574.27,-26957.35,synthetic_demo
FR-SYN-00089,ugunja,long_rains,beans,2025-03-14,2025-06-26,3.16,2.52,108879.27,617.35,-108261.92,synthetic_demo
FR-SYN-00090,gem,long_rains,rice,2025-03-14,2025-06-26,5.04,4.49,140813.16,2595.04,-138218.12,synthetic_demo
FR-SYN-00091,bondo,dry,sorghum,2025-01-25,2025-04-23,5.11,2.83,35923.55,1411.54,-34512.02,synthetic_demo
FR-SYN-00092,bondo,long_rains,maize,2025-03-22,2025-06-28,5.04,4.9,151827.39,1539.84,-150287.55,synthetic_demo
FR-SYN-00093,bondo,dry,millet,2025-01-21,2025-04-19,4.85,1.8,132312.56,961.19,-131351.37,synthetic_demo
FR-SYN-00094,alego,short_rains,maize,2025-10-25,2025-12-10,3.59,3.47,63397.25,874.09,-62523.16,synthetic_demo
FR-SYN-00095,gem,dry,sorghum,2025-01-12,2025-05-16,1.22,2.85,13765.45,363.99,-13401.46,synthetic_demo
FR-SYN-00096,alego,short_rains,maize,2025-10-25,2025-12-13,2.14,2.01,78577.43,294.73,-78282.71,synthetic_demo
FR-SYN-00097,ugunja,long_rains,maize,2025-03-12,2025-07-18,5.14,2.38,172807.43,804.8,-172002.63,synthetic_demo
FR-SYN-00098,ugunja,dry,millet,2025-01-25,2025-04-12,5.42,2.51,127116.3,1704.78,-125411.52,synthetic_demo
FR-SYN-00099,ugunja,short_rains,beans,2025-10-23,2025-12-14,3.11,1.65,64790.11,448.8,-64341.31,synthetic_demo
FR-SYN-00100,ugunja,dry,beans,2025-01-20,2025-05-11,1.78,0.85,66568.94,136.53,-66432.42,synthetic_demo
FR-SYN-00101,yala,long_rains,sorghum,2025-03-13,2025-06-22,4.13,2.64,77945.72,1088.63,-76857.09,synthetic_demo
FR-SYN-00102,alego,long_rains,beans,2025-03-12,2025-06-26,4.07,1.36,55074.52,469.05,-54605.47,synthetic_demo
FR-SYN-00103,ugunja,dry,sorghum,2025-01-06,2025-04-28,3.8,1.47,111875.99,637.91,-111238.08,synthetic_demo
FR-SYN-00104,yala,long_rains,beans,2025-03-20,2025-07-15,1.78,1.26,16258.75,211.13,-16047.62,synthetic_demo
FR-SYN-00105,gem,short_rains,beans,2025-10-11,2025-12-14,3.87,2.61,91788.14,952.96,-90835.18,synthetic_demo
FR-SYN-00106,bondo,dry,groundnuts,2025-01-16,2025-04-26,2.92,2.42,89765.55,833.96,-88931.58,synthetic_demo
FR-SYN-00107,bondo,short_rains,sorghum,2025-10-05,2025-12-28,3.42,3.13,69468.94,971.03,-68497.91,synthetic_demo
FR-SYN-00108,alego,short_rains,tomatoes,2025-10-17,2025-12-23,3.58,12.74,142694.94,3032.8,-139662.13,synthetic_demo
FR-SYN-00109,bondo,dry,millet,2025-01-10,2025-04-16,3.35,1.14,73775.52,473.4,-73302.13,synthetic_demo
FR-SYN-00110,bondo,long_rains,groundnuts,2025-03-07,2025-06-22,5.63,2.5,201855.28,1480.14,-200375.13,synthetic_demo
FR-SYN-00111,alego,short_rains,beans,2025-10-24,2025-12-15,4.24,2.14,31699.78,742.03,-30957.75,synthetic_demo
FR-SYN-00112,bondo,long_rains,millet,2025-03-22,2025-07-21,5.8,2.43,181351.11,1386.21,-179964.9,synthetic_demo
FR-SYN-00113,alego,short_rains,groundnuts,2025-10-17,2025-12-17,4.69,1.2,131246.38,684.69,-130561.69,synthetic_demo
FR-SYN-00114,ugunja,short_rains,tomatoes,2025-10-21,2025-12-18,1.94,8.54,83236.83,1139.95,-82096.87,synthetic_demo
FR-SYN-00115,ugunja,short_rains,beans,2025-10-12,2025-12-16,1.84,2.49,61768.38,357.77,-61410.6,synthetic_demo
FR-SYN-00116,bondo,short_rains,millet,2025-10-20,2025-12-25,1.59,1.36,24293.17,216.95,-24076.22,synthetic_demo
FR-SYN-00117,ugunja,short_rains,groundnuts,2025-10-19,2025-12-10,0.66,1.93,12106.81,146.73,-11960.08,synthetic_demo
FR-SYN-00118,gem,short_rains,sorghum,2025-10-16,2025-12-22,2.11,1.75,20906.29,342.59,-20563.7,synthetic_demo
FR-SYN-00119,ugunja,short_rains,beans,2025-10-20,2025-12-26,3.48,1.82,114868.27,524.33,-114343.94,synthetic_demo
FR-SYN-00120,bondo,short_rains,sorghum,2025-10-16,2025-12-21,0.71,1.68,17016.8,110.04,-16906.76,synthetic_demo
FR-SYN-00121,gem,dry,rice,2025-01-17,2025-05-24,4.01,4.75,79604.14,2270.54,-77333.6,synthetic_demo
FR-SYN-00122,yala,dry,groundnuts,2025-01-17,2025-05-24,4.82,2.33,145766.11,1347.06,-144419.05,synthetic_demo
FR-SYN-00123,ugunja,long_rains,maize,2025-03-07,2025-07-27,0.89,4.44,18456.8,230.44,-18226.36,synthetic_demo
FR-SYN-00124,ugunja,long_rains,maize,2025-03-16,2025-07-25,3.12,4.77,63911.01,1020.33,-62890.68,synthetic_demo
FR-SYN-00125,alego,short_rains,kale,2025-10-12,2025-12-24,2.26,8.51,59335.98,1007.78,-58328.2,synthetic_demo
FR-SYN-00126,gem,short_rains,groundnuts,2025-10-14,2025-12-10,3.56,2.1,93930.65,787.48,-93143.17,synthetic_demo
FR-SYN-00127,alego,dry,millet,2025-01-22,2025-05-23,1.62,1.91,10708.22,359.38,-10348.83,synthetic_demo
FR-SYN-00128,bondo,short_rains,groundnuts,2025-10-19,2025-12-17,1.09,1.63,32991.75,187.5,-32804.25,synthetic_demo
FR-SYN-00129,ugunja,long_rains,rice,2025-03-07,2025-07-15,1.64,5.6,41192.42,1087.68,-40104.74,synthetic_demo
FR-SYN-00130,bondo,dry,millet,2025-01-14,2025-05-15,4.0,2.26,91573.41,985.02,-90588.4,synthetic_demo
FR-SYN-00131,yala,long_rains,rice,2025-03-23,2025-06-22,4.86,5.42,205628.78,2924.39,-202704.39,synthetic_demo
FR-SYN-00132,bondo,long_rains,millet,2025-03-22,2025-06-14,3.23,3.11,22845.03,1104.43,-21740.6,synthetic_demo
FR-SYN-00133,gem,dry,groundnuts,2025-01-20,2025-04-28,1.61,1.85,29592.6,344.54,-29248.05,synthetic_demo
FR-SYN-00134,bondo,dry,beans,2025-01-05,2025-05-17,2.33,2.27,23262.59,490.23,-22772.36,synthetic_demo
FR-SYN-00135,bondo,long_rains,groundnuts,2025-03-06,2025-06-13,3.22,2.37,115393.67,841.68,-114551.98,synthetic_demo
FR-SYN-00136,ugunja,dry,rice,2025-01-07,2025-05-11,2.55,4.28,41201.94,1417.37,-39784.58,synthetic_demo
FR-SYN-00137,alego,long_rains,rice,2025-03-22,2025-07-16,1.64,6.06,39167.14,1213.05,-37954.09,synthetic_demo
FR-SYN-00138,bondo,long_rains,sorghum,2025-03-21,2025-07-15,3.48,2.72,43283.07,929.52,-42353.54,synthetic_demo
FR-SYN-00139,alego,long_rains,rice,2025-03-13,2025-07-24,3.02,6.2,27342.59,2152.17,-25190.41,synthetic_demo
FR-SYN-00140,yala,dry,sorghum,2025-01-19,2025-05-14,1.35,2.99,14349.93,447.75,-13902.18,synthetic_demo
FR-SYN-00141,alego,long_rains,maize,2025-03-23,2025-07-12,4.81,4.93,128188.91,1678.99,-126509.92,synthetic_demo
FR-SYN-00142,gem,long_rains,maize,2025-03-15,2025-06-20,3.31,2.66,36733.92,501.54,-36232.38,synthetic_demo
FR-SYN-00143,bondo,short_rains,beans,2025-10-13,2025-12-22,3.31,1.15,48437.29,346.62,-48090.66,synthetic_demo
FR-SYN-00144,bondo,short_rains,sorghum,2025-10-23,2025-12-13,4.23,2.63,75333.43,1152.96,-74180.47,synthetic_demo
FR-SYN-00145,ugunja,short_rains,rice,2025-10-12,2025-12-21,1.44,4.86,54260.05,813.48,-53446.57,synthetic_demo
FR-SYN-00146,yala,short_rains,beans,2025-10-11,2025-12-16,3.55,1.94,52962.97,603.34,-52359.63,synthetic_demo
FR-SYN-00147,bondo,short_rains,kale,2025-10-24,2025-12-11,3.11,6.69,69660.95,1163.72,-68497.23,synthetic_demo
FR-SYN-00148,gem,dry,rice,2025-01-20,2025-04-15,1.67,4.43,35503.75,896.73,-34607.02,synthetic_demo
FR-SYN-00149,yala,long_rains,sorghum,2025-03-25,2025-07-22,5.41,2.02,120902.0,1035.01,-119866.99,synthetic_demo
FR-SYN-00150,ugunja,short_rains,kale,2025-10-18,2025-12-20,3.03,11.24,72695.01,1919.85,-70775.16,synthetic_demo
FR-SYN-00151,ugunja,dry,millet,2025-01-22,2025-04-15,2.32,1.83,30901.02,550.0,-30351.02,synthetic_demo
FR-SYN-00152,ugunja,long_rains,maize,2025-03-24,2025-07-28,3.91,3.88,74334.06,939.37,-73394.69,synthetic_demo
FR-SYN-00153,gem,long_rains,rice,2025-03-06,2025-07-10,5.6,5.45,223813.11,3689.09,-220124.02,synthetic_demo
FR-SYN-00154,ugunja,short_rains,sorghum,2025-10-24,2025-12-20,2.73,2.74,80321.0,761.3,-79559.7,synthetic_demo
FR-SYN-00155,ugunja,dry,tomatoes,2025-01-06,2025-05-26,4.73,5.0,195426.83,2162.02,-193264.81,synthetic_demo
FR-SYN-00156,gem,dry,sorghum,2025-01-21,2025-04-15,4.81,2.08,61025.4,983.66,-60041.74,synthetic_demo
FR-SYN-00157,ugunja,dry,sorghum,2025-01-19,2025-05-12,3.43,3.31,34373.38,1210.57,-33162.81,synthetic_demo
FR-SYN-00158,ugunja,long_rains,beans,2025-03-14,2025-07-19,3.98,1.24,57209.43,391.9,-56817.53,synthetic_demo
FR-SYN-00159,alego,dry,groundnuts,2025-01-19,2025-04-10,1.92,1.19,63318.62,296.97,-63021.65,synthetic_demo
FR-SYN-00160,yala,short_rains,beans,2025-10-18,2025-12-15,4.23,2.21,68856.49,746.14,-68110.34,synthetic_demo
FR-SYN-00161,yala,short_rains,sorghum,2025-10-22,2025-12-19,3.14,2.19,63182.19,713.59,-62468.6,synthetic_demo
FR-SYN-00162,bondo,short_rains,beans,2025-10-15,2025-12-26,3.71,2.66,59379.03,811.55,-58567.48,synthetic_demo
FR-SYN-00163,ugunja,long_rains,maize,2025-03-25,2025-06-16,4.92,5.18,111720.3,1666.43,-110053.88,synthetic_demo
FR-SYN-00164,yala,long_rains,kale,2025-03-15,2025-07-28,3.93,10.09,160703.57,1905.61,-158797.96,synthetic_demo
FR-SYN-00165,alego,short_rains,sorghum,2025-10-18,2025-12-26,2.22,1.7,29963.48,390.39,-29573.09,synthetic_demo
FR-SYN-00166,bondo,short_rains,millet,2025-10-10,2025-12-15,3.81,1.16,119505.89,479.25,-119026.64,synthetic_demo
FR-SYN-00167,ugunja,dry,sorghum,2025-01-16,2025-04-16,5.53,2.28,161819.75,1328.9,-160490.85,synthetic_demo
FR-SYN-00168,alego,dry,sorghum,2025-01-06,2025-05-22,4.45,2.71,63860.78,1276.17,-62584.62,synthetic_demo
FR-SYN-00169,alego,short_rains,maize,2025-10-11,2025-12-18,3.47,4.12,83385.26,911.25,-82474.01,synthetic_demo
FR-SYN-00170,yala,long_rains,tomatoes,2025-03-10,2025-06-19,3.91,5.98,117077.22,1552.69,-115524.53,synthetic_demo
FR-SYN-00171,gem,dry,millet,2025-01-11,2025-04-24,3.67,1.63,109730.74,734.89,-108995.86,synthetic_demo
FR-SYN-00172,yala,short_rains,beans,2025-10-15,2025-12-24,3.23,1.11,94130.16,307.07,-93823.09,synthetic_demo
FR-SYN-00173,bondo,short_rains,kale,2025-10-22,2025-12-22,3.79,7.73,109942.54,1689.56,-108252.98,synthetic_demo
FR-SYN-00174,yala,dry,sorghum,2025-01-07,2025-05-13,3.8,1.54,72952.05,630.79,-72321.26,synthetic_demo
FR-SYN-00175,bondo,long_rains,maize,2025-03-23,2025-06-14,4.17,3.41,150274.17,962.59,-149311.58,synthetic_demo
FR-SYN-00176,yala,long_rains,tomatoes,2025-03-21,2025-07-14,5.2,6.58,155210.61,2142.89,-153067.72,synthetic_demo
FR-SYN-00177,yala,dry,millet,2025-01-18,2025-04-15,3.16,1.34,79792.86,445.88,-79346.98,synthetic_demo
FR-SYN-00178,gem,dry,tomatoes,2025-01-09,2025-04-14,4.07,7.57,61278.88,2454.33,-58824.55,synthetic_demo
FR-SYN-00179,alego,long_rains,sorghum,2025-03-12,2025-07-23,5.6,2.55,162009.62,1396.24,-160613.38,synthetic_demo
FR-SYN-00180,yala,short_rains,kale,2025-10-24,2025-12-17,3.15,7.08,80045.35,1204.03,-78841.32,synthetic_demo
FR-SYN-00181,alego,short_rains,kale,2025-10-14,2025-12-15,0.79,4.89,29901.03,223.26,-29677.77,synthetic_demo
FR-SYN-00182,alego,long_rains,tomatoes,2025-03-09,2025-06-18,1.96,13.38,72294.33,1754.12,-70540.21,synthetic_demo
FR-SYN-00183,ugunja,short_rains,sorghum,2025-10-06,2025-12-12,5.82,3.01,124681.93,1557.57,-123124.36,synthetic_demo
FR-SYN-00184,yala,long_rains,rice,2025-03-08,2025-06-15,3.11,6.06,58542.7,2217.22,-56325.48,synthetic_demo
FR-SYN-00185,gem,short_rains,tomatoes,2025-10-06,2025-12-27,4.04,5.98,147629.13,1717.08,-145912.05,synthetic_demo
FR-SYN-00186,ugunja,dry,groundnuts,2025-01-10,2025-05-27,0.66,1.52,5783.8,115.0,-5668.8,synthetic_demo
FR-SYN-00187,alego,dry,rice,2025-01-25,2025-04-13,1.07,4.11,11801.7,553.49,-11248.21,synthetic_demo
FR-SYN-00188,gem,short_rains,groundnuts,2025-10-15,2025-12-15,4.82,2.38,63723.98,1396.32,-62327.66,synthetic_demo
FR-SYN-00189,gem,long_rains,rice,2025-03-22,2025-07-16,3.92,3.7,32503.61,1717.38,-30786.23,synthetic_demo
FR-SYN-00190,bondo,dry,sorghum,2025-01-15,2025-05-28,0.62,2.06,16622.36,132.65,-16489.72,synthetic_demo
FR-SYN-00191,bondo,dry,millet,2025-01-14,2025-05-11,4.01,1.2,65209.83,516.72,-64693.11,synthetic_demo
FR-SYN-00192,ugunja,short_rains,rice,2025-10-25,2025-12-25,1.06,2.7,20687.8,343.15,-20344.65,synthetic_demo
FR-SYN-00193,alego,short_rains,beans,2025-10-06,2025-12-11,2.79,2.14,83139.91,473.96,-82665.95,synthetic_demo
FR-SYN-00194,gem,dry,millet,2025-01-24,2025-04-17,4.39,2.55,84612.18,1342.51,-83269.67,synthetic_demo
FR-SYN-00195,alego,long_rains,sorghum,2025-03-18,2025-07-22,2.35,3.46,40156.83,685.12,-39471.72,synthetic_demo
FR-SYN-00196,yala,dry,millet,2025-01-23,2025-04-14,1.14,1.97,19512.79,279.86,-19232.93,synthetic_demo
FR-SYN-00197,gem,dry,sorghum,2025-01-25,2025-05-26,3.03,2.5,63292.33,754.39,-62537.94,synthetic_demo
FR-SYN-00198,ugunja,long_rains,tomatoes,2025-03-22,2025-06-24,4.76,10.52,151601.28,3574.83,-148026.46,synthetic_demo
FR-SYN-00199,yala,long_rains,maize,2025-03-24,2025-07-11,1.16,2.11,34985.24,152.94,-34832.3,synthetic_demo
FR-SYN-00200,yala,long_rains,beans,2025-03-08,2025-06-23,5.3,1.42,155366.63,611.11,-154755.51,synthetic_demo
FR-SYN-00201,yala,short_rains,maize,2025-10-06,2025-12-18,1.34,4.35,16439.12,379.36,-16059.76,synthetic_demo
FR-SYN-00202,alego,long_rains,beans,2025-03-21,2025-07-16,3.79,1.54,93934.11,495.89,-93438.22,synthetic_demo
FR-SYN-00203,bondo,short_rains,groundnuts,2025-10-20,2025-12-23,3.47,1.95,38565.83,819.17,-37746.66,synthetic_demo
FR-SYN-00204,yala,long_rains,maize,2025-03-14,2025-06-24,5.23,4.37,176103.84,1410.69,-174693.14,synthetic_demo
FR-SYN-00205,bondo,short_rains,beans,2025-10-14,2025-12-18,4.37,1.99,79899.8,821.97,-79077.83,synthetic_demo
FR-SYN-00206,bondo,long_rains,beans,2025-03-24,2025-06-21,2.58,2.42,87733.09,571.15,-87161.93,synthetic_demo
